name,position,team,ρ_β,ω_α,ω_β,ψ_α,ψ_β,start_prob,sub_prob,unused_prob,score_prob,assist_prob
Andy Lonergan,GK,9.0,[  0.25   0.25 101.5 ],0.0,106.0,0.0,106.0,0.0025256412738628073,0.002420524215691047,0.9950538345104482,5.175198899966315e-06,3.4827026546428245e-06
Idrissa Gueye,MID,9.0,[117.25  15.25  53.5 ],3.0,187.0,7.0,183.0,0.6306023637722212,0.08212929412678116,0.287268342100994,0.015667717582233624,0.03677545888298432
James Tarkowski,DEF,9.0,[201.25  31.25  34.5 ],8.0,263.0,9.0,262.0,0.7540655800529167,0.11687542551371838,0.1290589944333672,0.029415731226338775,0.03328329931186044
Arnaut Danjuma Groeneveld,MID,9.0,[ 5.25  9.25 24.5 ],0.0,43.0,1.0,42.0,0.13563089105998577,0.23635274635464287,0.6280163625853725,5.276415094556452e-06,0.023143545236435886
Ben Godfrey,DEF,9.0,[91.25  6.25 51.5 ],0.0,153.0,3.0,150.0,0.6153287898547477,0.040819632261101226,0.34385157788415105,9.928801184560113e-07,0.01998895448415677
AndrÃÂÃÂ© Tavares Gomes,MID,9.0,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0,0.006502051564786053,0.006402498070194073,0.9870954503650223,3.5452412937739096e-06,3.37637138277344e-06
Dominic Calvert-Lewin,FWD,9.0,[128.25  53.25  76.5 ],47.0,215.0,23.0,239.0,0.4969912947855944,0.20633665949836769,0.29667204571603817,0.1795739118549307,0.08766488579385819
Neal Maupay,FWD,9.0,[88.25 41.25 23.5 ],27.0,130.0,8.0,149.0,0.5767728346154202,0.26958409165510183,0.1536430737294763,0.17203336844916334,0.05076954071412007
Tyler Onyango,MID,9.0,[ 0.25  3.25 45.5 ],0.0,53.0,0.0,53.0,0.005021310676975648,0.06580185505972208,0.9291768342633075,7.7967431252408e-06,5.952430353123663e-06
Demarai Gray,MID,9.0,[91.25 97.25 78.5 ],19.0,252.0,18.0,253.0,0.34189346909899665,0.36397678314815196,0.29412974775284995,0.07021604624883751,0.066209112611877
Abdoulaye DoucourÃÂÃÂ©,MID,9.0,[108.25  13.25  31.5 ],13.0,144.0,14.0,143.0,0.7073117424342225,0.08668420485408417,0.2060040527116949,0.08276245230876873,0.089112149617234
Jean-Philippe Gbamin,MID,9.0,[  1.25   5.25 146.5 ],0.0,157.0,0.0,157.0,0.008272384574634738,0.03412014217916175,0.9576074732462075,1.776564239720554e-06,1.6282837449501826e-06
Lewis Dobbin,MID,9.0,[ 0.25  3.25 30.5 ],0.0,38.0,0.0,38.0,0.006930813269776361,0.09617216229116049,0.8968970244390633,1.3128369341571689e-05,3.6811775464521276e-06
Vitalii Mykolenko,DEF,9.0,[28.25 19.25 12.5 ],1.0,63.0,2.0,62.0,0.4710285354174605,0.3208440746893741,0.20812738989316534,0.015751488206801202,0.03127794781225743
Alex Iwobi,MID,9.0,[140.25  68.25  58.5 ],15.0,256.0,31.0,240.0,0.5256172667937009,0.25552910183521943,0.21885363137108027,0.05532752927608517,0.1142996256668168
Ellis Simms,FWD,9.0,[ 3.25  9.25 77.5 ],1.0,93.0,0.0,94.0,0.03649156365185733,0.10232935029456508,0.8611790860535778,0.010458288020361787,3.4664597957611113e-06
Thomas Cannon,FWD,9.0,[ 0.25  2.25 22.5 ],0.0,29.0,0.0,29.0,0.011081819346169815,0.0900585163417828,0.8988596643120502,9.201076011111348e-06,9.713363230783183e-06
Ashley Young,DEF,9.0,[106.25  31.25  91.5 ],5.0,228.0,12.0,221.0,0.4641293097321822,0.1364556728190455,0.3994150174487737,0.021558103986512773,0.05142976753123632
Amadou Onana,MID,9.0,[18.25 15.25  4.5 ],1.0,41.0,3.0,39.0,0.4809559702786178,0.4009837403024852,0.11806028941889887,0.024093455886960824,0.07141539330235774
Dele Alli,MID,9.0,[ 0.25  2.25 36.5 ],0.0,43.0,0.0,43.0,0.006640642169754881,0.05742995021563819,0.9359294076146053,1.0082618939189813e-05,6.198838066873643e-06
Seamus Coleman,DEF,9.0,[148.25  24.25  94.5 ],8.0,263.0,12.0,259.0,0.5550917580625118,0.09076798219726454,0.3541402597402238,0.029672265632006284,0.04442862434864322
Jordan Pickford,GK,9.0,[232.25  14.25  20.5 ],0.0,271.0,1.0,270.0,0.86928784476839,0.05353965157187293,0.07717250365973469,2.558022840991885e-07,0.0037329217590833085
Jarrad Branthwaite,DEF,9.0,[  7.25   3.25 113.5 ],1.0,127.0,0.0,128.0,0.058670885030549895,0.026116677945991814,0.9152124370234621,0.007294662054102211,1.0536263491699306e-06
Dwight McNeil,MID,9.0,[145.25  25.25  18.5 ],14.0,179.0,22.0,171.0,0.7685106332047708,0.13363174973157432,0.09785761706365607,0.07252464077405868,0.11405779714237292
James Garner,MID,9.0,[  7.25  11.25 107.5 ],0.0,130.0,1.0,129.0,0.057643973597494375,0.08906701595905138,0.8532890104434572,1.7625033908860406e-06,0.007242476052937445
Nathan Patterson,DEF,9.0,[ 7.25 12.25 40.5 ],0.0,64.0,0.0,64.0,0.1213823553141624,0.20245096833209786,0.6761666763537393,3.3100640869298285e-06,5.658521205628925e-06
Michael Keane,DEF,9.0,[198.25  10.25  58.5 ],12.0,259.0,9.0,262.0,0.7425498468951139,0.038504824247715015,0.2189453288571713,0.044084438834730476,0.0332903084842162
Mason Holgate,DEF,9.0,[104.25  22.25 140.5 ],3.0,268.0,7.0,264.0,0.3906424961758666,0.0832731307619807,0.5260843730621523,0.011085453964803267,0.025954306474191807
Jack Harrison,MID,9.0,[81.25 26.25  7.5 ],21.0,98.0,19.0,100.0,0.7067092054603694,0.22797653196467482,0.06531426257496165,0.17627401993985076,0.15947369626416136
Lewis Warrington,MID,9.0,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0,0.006028329311763875,0.006351151127782861,0.987620519560452,6.094657068744019e-06,3.3623226512473265e-06
